Placement,Swiss,Country,Player,Prize,Team,Class,Tournament
9,6-0,TWN,Chen Yu-ying,–,"['Kyogre', 'Indeedee-Female', 'Tornadus', 'Thundurus', 'Urshifu', 'Landorus-Therian']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
10,5-1,TWN,Chen Chih-chun,–,"['Zacian-Crowned', 'Grimmsnarl', 'Urshifu', 'Dragapult', 'Rillaboom', 'Coalossal']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
11,5-1,TWN,Tang Cheng-lin,–,"['Kyogre', 'Whimsicott', 'Amoonguss', 'Zapdos', 'Rillaboom', 'Urshifu']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
12,5-1,TWN,Pai Yu-ping(White),–,"['Reshiram', 'Umbreon', 'Gastrodon-East', 'Thundurus', 'Whimsicott', 'Cobalion']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
13,5-1,TWN,Liu Jian-ting(Sayha),–,"['Zacian-Crowned', 'Dusclops', 'Tapu-Fini', 'Rotom-Heat', 'Rillaboom', 'Drampa']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
14,5-1,TWN,Chang Yu-hsiang,–,"['Xerneas', 'Ditto', 'Dracovish', 'Kangaskhan', 'Whimsicott', 'Metagross']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
15,4-2,TWN,Chen Yu-wen,–,"['Kyogre', 'Cinderace', 'Grimmsnarl', 'Zapdos', 'Amoonguss', 'Urshifu']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
16,4-2,TWN,Chang Te-yu,–,"['Zacian-Crowned', 'Urshifu', 'Sableye', 'Thundurus', 'Venusaur', 'Charizard']",Teams and Results,Teams and Results from the 2021 Kaohsiung Regionals
1,7-1,ITA,Matteo Agostini(Cam),400,"['Zacian-Crowned', 'Incineroar', 'Gastrodon', 'Thundurus', 'Sableye', 'Charizard']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
2,6-2,ITA,Giuseppe Alario(Il Mule),300,"['Kyogre', 'Cinderace', 'Talonflame', 'Regieleki', 'Tsareena', 'Regidrago']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
3,6-2,ITA,Daniele Spuntarelli(Zenzero),200,"['Zacian-Crowned', 'Landorus-Therian', 'Urshifu', 'Dragapult', 'Rillaboom', 'Coalossal']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
4,6-2,USA,Jon Hu(Sharon),200,"['Zacian-Crowned', 'Incineroar', 'Aerodactyl', 'Thundurus', 'Dragapult', 'Bisharp']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
5,7-1,CHN,Xiao Haotian(DayDay),150,"['Zacian-Crowned', 'Incineroar', 'Milotic', 'Ditto', 'Rillaboom', 'Dragapult']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
6,6-2,ESP,Guillermo Castilla(KastyTP),150,"['Groudon', 'Incineroar', 'Tapu-Fini', 'Thundurus', 'Venusaur', 'Porygon2']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
7,6-2,ITA,Flavio Del Pidio(Pado),150,"['Calyrex-Ice-Rider', 'Incineroar', 'Indeedee-Female', 'Mimikyu', 'Venusaur', 'Torkoal']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
8,6-2,USA,Kyle Geffner(North),150,"['Groudon', 'Incineroar', 'Grimmsnarl', 'Rotom-Wash', 'Venusaur', 'Celesteela']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
9,8-0,DEU,Markus Stadter(13Yoshi37),80,"['Calyrex-Ice-Rider', 'Incineroar', 'Tapu-Fini', 'Clefairy', 'Ferrothorn', 'Mimikyu']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
10,7-1,ITA,Francesco P. Pero(CICCIOTT),80,"['Groudon', 'Umbreon', 'Grimmsnarl', 'Regieleki', 'Venusaur', 'Charizard']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
11,7-1,ITA,Enrico Geraci(Gerry),80,"['Zacian-Crowned', 'Urshifu', 'Rotom-Heat', 'Regieleki', 'Amoonguss', 'Dragapult']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
12,7-1,USA,Cedric Bernier(Cedric),80,"['Kyogre', 'Landorus-Therian', 'Tornadus', 'Regieleki', 'Amoonguss', 'Kartana']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
13,6-2,ESP,Pablo Gallardo(Dios),80,"['Kyogre', 'Urshifu', 'Shedinja', 'Dragapult', 'Whimsicott', 'Coalossal']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
14,6-2,PRT,António Moreira(Antonio),80,"['Kyogre', 'Incineroar', 'Tornadus', 'Mimikyu', 'Amoonguss', 'Metagross']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
15,6-2,USA,Sam Pletcher(LuxioBro),80,"['Palkia', 'Incineroar', 'Grimmsnarl', 'Landorus-Therian', 'Ferrothorn', 'Moltres-Galar']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
16,6-2,DEU,Barış Akcoş(<<Billa>>),80,"['Calyrex-Ice-Rider', 'Incineroar', 'Tapu-Fini', 'Clefairy', 'Ferrothorn', 'Mimikyu']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
17,6-2,USA,Gerald Hoard(2thyfor),40,"['Necrozma-Dusk-Mane', 'Incineroar', 'Tapu-Fini', 'Thundurus', 'Urshifu', 'Mimikyu']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
18,6-2,NZL,Aidan Jackson(Miden),40,"['Groudon', 'Incineroar', 'Tapu-Koko', 'Regieleki', 'Rillaboom', 'Charizard']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
19,6-2,MEX,Luis Martínez(Luiso),40,"['Dialga', 'Rotom-Heat', 'Suicune', 'Landorus-Therian', 'Rillaboom', 'Moltres-Galar']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
20,6-2,ITA,Giulio Tarlao(UD),40,"['Kyogre', 'Incineroar', 'Porygon2', 'Regieleki', 'Ferrothorn', 'Dragapult']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
21,6-2,ITA,Stefano Greppi(Ste),40,"['Zacian-Crowned', 'Incineroar', 'Grimmsnarl', 'Rotom-Wash', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
22,6-2,ESP,Fernando Ruiz(Fer),40,"['Zekrom', 'Incineroar', 'Milotic', 'Comfey', 'Amoonguss', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
23,6-2,GBR,Damahni Palmer(Domingo),40,"['Reshiram', 'Bronzong', 'Urshifu', 'Togekiss', 'Rillaboom', 'Glastrier']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
24,6-2,ESP,Elías El Hani(Elias),40,"['Calyrex-Shadow-Rider', 'Incineroar', 'Thundurus', 'Regieleki', 'Indeedee-Female', 'Urshifu']",Teams and Results,Teams and results from the Qualifier #5 of the VR Circuit: Winter Series
1,6-2,ITA,Simone Sanvito(☆Sanvy),$95 + 400 VR points,"['Urshifu', 'Landorus-Therian', 'Tapu-Fini', 'Regieleki', 'Porygon2', 'Glastrier']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
2,7-1,PER,Orlando Luna(Orlando),$48 + 300 VR points,"['Rillaboom', 'Incineroar', 'Urshifu', 'Moltres-Galar', 'Dragapult', 'Coalossal']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
3,6-2,ITA,Roberto Parente(TrainerRob02),$24 + 200 VR points,"['Amoonguss', 'Incineroar', 'Tapu-Fini', 'Thundurus', 'Tyranitar', 'Excadrill']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
4,6-2,ITA,Francesco P. Pero(CICCIOTT),$24 + 200 VR points,"['Grimmsnarl', 'Landorus-Therian', 'Urshifu', 'Tapu-Koko', 'Porygon2', 'Celesteela']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
5,7-1,PRT,Eduardo Cunha(Edu),150 VR points,"['Rillaboom', 'Coalossal', 'Urshifu', 'Grimmsnarl', 'Spectrier', 'Celesteela']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
6,6-2,ESP,Ismael Aarab(SIUMAN),150 VR points,"['Rillaboom', 'Marowak-Alola', 'Tapu-Fini', 'Regirock', 'Porygon2', 'Celesteela']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
7,6-2,USA,Andrew Ding(Valentine ★),150 VR points,"['Rillaboom', 'Clefairy', 'Urshifu', 'Regieleki', 'Spectrier', 'Glastrier']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
8,6-2,USA,Austin Acosta(Austin),150 VR points,"['Rillaboom', 'Clefairy', 'Urshifu', 'Regieleki', 'Spectrier', 'Glastrier']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
9,7-1,ITA,Antonio Raimondo(Rey),80 VR points,"['Kartana', 'Incineroar', 'Tapu-Fini', 'Mimikyu', 'Dragapult', 'Nihilego']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
10,7-1,USA,Siddharth Singhal(Buddha),80 VR points,"['Togekiss', 'Incineroar', 'Urshifu', 'Regieleki', 'Spectrier', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
11,7-1,JPN,Teru Nakajima(まなかのん),80 VR points,"['Grimmsnarl', 'Landorus-Therian', 'Tapu-Fini', 'Rotom-Heat', 'Nihilego', 'Celesteela']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
12,6-2,AUT,Ian Dertschei(Ian),80 VR points,"['Rillaboom', 'Incineroar', 'Togekiss', 'Rotom-Wash', 'Dragapult', 'Stakataka']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
13,6-2,ESP,Guillermo Castilla(KastyTP),80 VR points,"['Rillaboom', 'Heatran', 'Grimmsnarl', 'Rotom-Wash', 'Porygon2', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
14,6-2,USA,Marco Martinez(marsvgc),80 VR points,"['Ferrothorn', 'Incineroar', 'Lapras', 'Tapu-Koko', 'Porygon2', 'Garchomp']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
15,6-2,ITA,Emanuele Ciliberto(Asuya),80 VR points,"['Kartana', 'Incineroar', 'Tapu-Fini', 'Thundurus', 'Urshifu', 'Landorus-Therian']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
16,6-2,JPN,Naoya Takasago(みず),80 VR points,"['Landorus-Therian', 'Rotom-Heat', 'Tapu-Fini', 'Regieleki', 'Porygon2', 'Glastrier']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
17,6-2,USA,Lenny Guzman(Lenny),40 VR points,"['Amoonguss', 'Incineroar', 'Grimmsnarl', 'Rotom-Wash', 'Garchomp', 'Celesteela']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
18,6-2,ESP,David Nicodemus(david),40 VR points,"['Rillaboom', 'Coalossal', 'Urshifu', 'Dragapult', 'Weezing', 'Regigigas']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
19,6-2,BRA,Gabriel Madeira(Gabriel),40 VR points,"['Whimsicott', 'Incineroar', 'Urshifu', 'Tapu-Lele', 'Spectrier', 'Heatran']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
20,6-2,ITA,Francesco Deiana(Francis),40 VR points,"['Zapdos', 'Incineroar', 'Urshifu', 'Regieleki', 'Porygon2', 'Glastrier']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
21,6-2,ITA,Alessio Fuscà(NikyuAlex),40 VR points,"['Urshifu', 'Incineroar', 'Tapu-Fini', 'Regieleki', 'Garchomp', 'Glastrier']",Teams and Results,Teams and results from the Qualifier #1 of the VR Circuit: Spring Series
1,5-2,USA,Kyle Geffner(North),$73 + 400 VR points,"['Venusaur', 'Torkoal', 'Grimmsnarl', 'Zapdos', 'Porygon2', 'Regirock']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
2,5-2,PRT,Eduardo Cunha(Edu),$37 + 300 VR points,"['Rillaboom', 'Coalossal', 'Urshifu', 'Grimmsnarl', 'Spectrier', 'Celesteela']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
3,6-1,GBR,Taran Birdee(Taran),$18 + 200 VR points,"['Rillaboom', 'Togekiss', 'Urshifu', 'Regieleki', 'Gothitelle', 'Landorus-Therian']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
4,5-2,CUB,Kevin Salvetto(Lil Bo Peep),$18 + 200 VR points,"['Venusaur', 'Torkoal', 'Grimmsnarl', 'Landorus-Therian', 'Porygon2', 'Charizard']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
5,7-0,KOR,Lee Jeong-so(상자),150 VR points,"['Landorus-Therian', 'Incineroar', 'Tapu-Fini', 'Zapdos', 'Porygon2', 'Metagross']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
6,6-1,IND,Varun Gudapati(Varun),150 VR points,"['Venusaur', 'Torkoal', 'Grimmsnarl', 'Regieleki', 'Urshifu', 'Charizard']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
7,6-1,MEX,Christian Vargas(Chris),150 VR points,"['Rillaboom', 'Incineroar', 'Urshifu', 'Moltres-Galar', 'Dragapult', 'Coalossal']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
8,5-2,JPN,Yuki Zaninovich(ゆうき),150 VR points,"['Amoonguss', 'Incineroar', 'Togekiss', 'Rotom-Wash', 'Porygon2', 'Glastrier']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
9,6-1,ITA,Francesco Iozzia(Nova),80 VR points,"['Grimmsnarl', 'Incineroar', 'Tapu-Fini', 'Raichu', 'Garchomp', 'Celesteela']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
10,6-1,ESP,Ramsés Quintana(Kaorukitsune),80 VR points,"['Rillaboom', 'Clefairy', 'Urshifu', 'Regieleki', 'Spectrier', 'Glastrier']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
11,6-1,POL,Szymon Wojdat(Amy),80 VR points,"['Kartana', 'Incineroar', 'Tapu-Fini', 'Thundurus', 'Urshifu', 'Landorus-Therian']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
12,5-2,ITA,Daniele Spuntarelli(Zenzero),80 VR points,"['Weezing', 'Urshifu', 'Tapu-Fini', 'Regieleki', 'Garchomp', 'Celesteela']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
13,5-2,ESP,Anselm Espuny(Gary Oak),80 VR points,"['Rillaboom', 'Clefairy', 'Urshifu', 'Regieleki', 'Spectrier', 'Glastrier']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
14,5-2,GBR,Will Tansley(StarKO),80 VR points,"['Moltres-Galar', 'Entei', 'Grimmsnarl', 'Rotom-Wash', 'Porygon2', 'Metagross']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
15,5-2,CHN,Wang Bingjie(kokoro),80 VR points,"['Venusaur', 'Torkoal', 'Urshifu', 'Regieleki', 'Weezing', 'Regigigas']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
16,5-2,USA,Ethan Mattos(SplattyDaddyVGC),80 VR points,"['Grimmsnarl', 'Regirock', 'Tapu-Fini', 'Zapdos', 'Porygon2', 'Celesteela']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
17,5-2,ESP,Iker Rodrigo(Reki),40 VR points,"['Urshifu', 'Incineroar', 'Tapu-Fini', 'Rotom-Heat', 'Porygon2', 'Mudsdale']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
18,5-2,ITA,Alessio Y. Boschetto(Emily),40 VR points,"['Moltres-Galar', 'Entei', 'Grimmsnarl', 'Rotom-Wash', 'Porygon2', 'Metagross']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
19,5-2,ESP,Jose M. Cabré(Aya Cabre),40 VR points,"['Urshifu', 'Heatran', 'Tapu-Fini', 'Thundurus', 'Clefable', 'Nihilego']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
20,5-2,ITA,Matteo Agostini(Cam),40 VR points,"['Urshifu', 'Incineroar', 'Tapu-Koko', 'Regieleki', 'Dusclops', 'Glastrier']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
21,5-2,AUT,Ian Dertschei(Ian),40 VR points,"['Rillaboom', 'Incineroar', 'Togekiss', 'Rotom-Wash', 'Dragapult', 'Stakataka']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
22,5-2,SGP,Evan Weng(EvanSmoak♪),40 VR points,"['Rillaboom', 'Coalossal', 'Primarina', 'Tauros', 'Gothitelle', 'Celesteela']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
23,5-2,AUS,Yoav Reuven(Gold),40 VR points,"['Rillaboom', 'Incineroar', 'Urshifu', 'Moltres-Galar', 'Dragapult', 'Coalossal']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
24,5-2,ITA,Christian De Nicolo(Dot1Q),40 VR points,"['Snorlax', 'Torkoal', 'Hatterene', 'Indeedee-Female', 'Mimikyu', 'Glastrier']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
25,5-2,ITA,Christian Gallori(Azra),40 VR points,"['Grimmsnarl', 'Marowak-Alola', 'Tapu-Fini', 'Thundurus', 'Porygon2', 'Urshifu']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
26,5-2,ITA,Pasquale Palermo(Pakosss77),40 VR points,"['Whimsicott', 'Rotom-Heat', 'Tapu-Fini', 'Regieleki', 'Spectrier', 'Urshifu']",Top cut teams,Teams and results from the Qualifier #2 of the VR Circuit: Spring Series
1,6-1,ITA,Giulio Tarlao(Giulio),$79 + 400 VR points,"['Moltres-Galar', 'Entei', 'Grimmsnarl', 'Rotom-Wash', 'Porygon2', 'Metagross']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
2,5-2,ITA,Giuseppe Alario(Il Mule),$40 + 300 VR points,"['Indeedee', 'Dracovish', 'Whimsicott', 'Regieleki', 'Spectrier', 'Thundurus']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
3,7-0,ITA,Francesco Deiana(Francis),$20 + 200 VR points,"['Amoonguss', 'Incineroar', 'Urshifu', 'Zapdos', 'Porygon2', 'Glastrier']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
4,5-2,ITA,Marco Silva(marcofiero),$20 + 200 VR points,"['Rillaboom', 'Togekiss', 'Urshifu', 'Regieleki', 'Gothitelle', 'Landorus-Therian']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
5,6-1,AUS,Malcolm Mackellar(Mogar),150 VR points,"['Shuckle', 'Chansey', 'Indeedee-Female', 'Hatterene', 'Liepard', 'Spectrier']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
6,5-2,ESP,Daniel Munuera(DaMuGa),150 VR points,"['Rillaboom', 'Clefable', 'Urshifu', 'Landorus-Therian', 'Porygon2', 'Celesteela']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
7,5-2,ESP,Álex Gómez(PokeAlex),150 VR points,"['Rillaboom', 'Weezing', 'Urshifu', 'Regieleki', 'Garchomp', 'Celesteela']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
8,5-2,GBR,Will Tansley(StarKO),150 VR points,"['Kartana', 'Incineroar', 'Tapu-Fini', 'Thundurus', 'Urshifu', 'Landorus-Therian']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
9,6-1,USA,Sohaib Mufti(Sohaib),80 VR points,"['Rillaboom', 'Incineroar', 'Urshifu', 'Togekiss', 'Dragapult', 'Coalossal']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
10,6-1,DNK,Frederik H. Nielsen(Hoej),80 VR points,"['Rillaboom', 'Incineroar', 'Grimmsnarl', 'Dracovish', 'Whimsicott', 'Moltres-Galar']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
11,6-1,ESP,Unai Tejero(Turtle),80 VR points,"['Moltres-Galar', 'Incineroar', 'Primarina', 'Goodra', 'Whimsicott', 'Registeel']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
12,5-2,ESP,Manuel Barea(LeunamTG),80 VR points,"['Rillaboom', 'Incineroar', 'Politoed', 'Kingdra', 'Gothitelle', 'Escavalier']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
13,5-2,USA,Yuki Zaninovich(ゆうき),80 VR points,"['Amoonguss', 'Incineroar', 'Togekiss', 'Rotom-Wash', 'Porygon2', 'Glastrier']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
14,5-2,USA,Brian Collins(Angelo),80 VR points,"['Venusaur', 'Torkoal', 'Grimmsnarl', 'Garchomp', 'Porygon2', 'Celesteela']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
15,5-2,ITA,Flavio Del Pidio(Pado),80 VR points,"['Venusaur', 'Torkoal', 'Indeedee-Female', 'Landorus-Therian', 'Kartana', 'Charizard']",Top cut teams,Teams and results from the Qualifier #3 of the VR Circuit: Spring Series
